id,name,type,rarity,status,trigger,demand,timer,effect,on_fail,currency,scope,score_step,on_grid,state,visual,seam,cost,mode_bans,notes
peak_hours,Peak Hours,Knack,rare,idea,on focus max,,,Forces a random Trick instead of the usual max-Focus payout,,force a trick,per round,n/a,no,none,toast,onFocusMaxed(),S,none,Any Focus drop must be deferred ~260ms so the fill animation plays first.
pass_it_on,Pass It On,Trick,common,idea,on discard,,,Primes the Trick to its right in the tray,,prime a trick,per hand,n/a,no,none,cooldown ring,t._primed,S,none,Priming cannot fire a Trick whose condition was unmet. That is what priming IS; use force for the other.
cross_reference,Cross-Reference,Trick,epic,idea,on scored hand,Hand touches a Sleight,,Primes a random Trick,,prime a trick,per hand,n/a,no,none,cooldown ring,t._primed + _isTouching,S,none,
mentorship,Mentorship,Knack,rare,idea,between rounds,,,Primes the Trick you have owned longest,,prime a trick,per round,n/a,no,none,cooldown ring,t._primed,S,none,"Needs an acquisition order, which acquiredTricks already gives for free."
preferred_vendor,Preferred Vendor,Knack,rare,idea,on scored hand,,,The last card you scored draws sooner for the rest of the run,,draw order,per run,n/a,no,cardId map,card mark,drawBias + flushPlayedDeck,M,none,A BIAS: weighted sort at shuffle time. Never substitute at the draw (the r216 Famine lesson).
expedite,Expedite,Sleight,epic,idea,on double tap,,,"Put any card in your deck on top of the pile, now",,draw order,the deck,n/a,yes,none,toast,drawPile.unshift,M,none,"A TUTOR: deterministic and one-shot, so the player can plan a turn around it. Different feel from a bias."
filing_system,Filing System,Sleight,rare,idea,passive,,,Your highest and lowest cards both draw sooner,,draw order,the deck,n/a,yes,cardId map,NONE - needs one,drawBias,S,none,Must show the bias somewhere or nobody will believe it works.
backlog,Backlog,Knack,common,idea,on discard,,,"Discarded cards go to the back of the pile, twice over",,draw order,the deck,n/a,no,none,NONE - needs one,discardToDrawPile,S,none,"A BURY, the inverse lever. Famine is already a fleet-wide bury."
seniority,Seniority,Trick,rare,idea,on scored hand,,,Every Ace you score gains permanent draw bias,,draw order,per card,n/a,no,cardId map,card mark,drawBias,S,not Spectrum,"Spectrum has no Aces, so it must be in NUMERIC_BANNED_TRICKS."
contagion,Contagion,Boss modifier,n/a,idea,round tick,,every 20s,Plants a Notice somewhere on the board,,rule change,whole board,n/a,no,global counter,boss brief,bossSchedule + contract engine,M,none,"The boss that USES the Notice engine. Build after the engine, not with it."
the_shredder,The Shredder,Boss modifier,n/a,idea,round start,,,Your three highest cards are buried at the back of the draw pile,,draw order,the deck,n/a,no,round-local,boss brief,famineStackDeck shape,S,none,Reorders the real pile. Must not forge or rewrite cards.
night_shift,Night Shift,Notice,rare,idea,on deadline,Score a hand using it,40s,+30s on the clock,-20s on the clock,seconds (rewind),per card,n/a,yes,cardId map,cooldown ring,rewindTime(),S,not Flow,"Both outcomes go through rewindTime/pauseRound, never a raw roundSeconds write."
audit_trail,Audit Trail,Challenge,n/a,idea,round start,Clear the goal with a Notice still alive,whole round,Bonus credits,,credits,per round,n/a,no,round-local,bar text,CHALLENGE_DEFS + contract engine,S,none,Failing a challenge must never fail the ROUND. Clear the raised goal and the round passes.
severance,Severance,Reward tile,rare,idea,between rounds,,,Clears every Escalated cell on the board and pays 10 credits,,credits,whole board,n/a,no,none,entity tile,reward-grid category,S,none,"Counterplay, Clean Slate's shape. A permanent liability needs a way off or it is just attrition."
