Type,ID,Name,Rarity,Base bonus (Lv1),Improve option 1,Improve option 2,Improve option 3,Notes,Wiring,Filled by
Trick,chorus,Chorus,epic,Each replay in a hand multiplies its mult ×0.2 more,+0.2x per replay,"the base play counts as a replay too, so a hand with no replays still gets one step",,,O1 BAL · O2 code,Claude
Trick,deep_breath,Deep Breath,rare,Hands played while the clock is paused ×2 pips,+1x pips,also applies for 3 seconds after a pause ends,,,O1 BAL · O2 code,Claude
Trick,interest,Interest,rare,"×0.1 pips for every 10 credits you hold, up to ×3",+0.1x per 10 credits,"counts every 5 credits instead of every 10 (-5 per improvement, min 5)",+2 to the cap,,O1 BAL · O2 BAL · O3 BAL,Claude
Trick,portfolio,Portfolio,epic,×0.15 mult for every card on the grid carrying a permanent bonus,+0.15x per buffed card,cursed cards on the grid count too,,,O1 BAL · O2 code,Claude
Trick,redline,Redline,epic,"While your Focus multiplier is ×2 or higher, ×2 mult",+1x mult,"triggers at a x1.5 Focus multiplier instead (-0.5 per improvement, min x1.2)",,,O1 BAL · O2 BAL,Claude
Trick,compound,Compound,mythic,Every 45 seconds your round score is banked. Your next hand pays the banked amount again.,+1x to the banked amount paid out,"banks every 35 seconds instead of 45 (-10s per improvement, min 15s)",,,O1 BAL · O2 BAL,Claude
Trick,overclock,Overclock,epic,The Focus speed bonus is multiplied by 2.,+1x speed bonus,multiplies the complexity bonus by the same amount as well,,,O1 BAL · O2 code,Claude
Trick,second_nature,Second Nature,epic,Hands generate 2× their listed Focus.,+1x Focus,widens the Focus speed window by the same multiplier as well,,,O1 BAL · O2 code,Claude
Trick,kindred,Quake,common,Sets score +3 mult per card in the largest set,+3 mult per card,"counts every card in the hand, not only the cards in the largest set",,,O1 BAL · O2 code,Claude
Trick,trinity,Shock,common,Sets score +12 pips per card in the largest set,+12 pips per card,"counts every card in the hand, not only the cards in the largest set",,,O1 BAL · O2 code,Claude
Trick,double_bloom,Magnitude,epic,Hands containing a pair ×1.5 mult,+0.5x mult,two cards within 1 rank of each other count as a pair for this trick,,,O1 BAL · O2 code,Claude
Trick,high_pair,Resonance,rare,Pairs and Two Pairs containing a 2 or 4 add +2 Focus per card,+2 Focus per card,6s count as well (one more even rank per improvement),,,O1 BAL · O2 code,Claude
Trick,rare_bloom,Bedrock,epic,Four of a Kind permanently buffs its 4 cards +8 pips each,+8 pips,Three of a Kind also counts,,,O1 BAL · O2 code,Claude
Trick,full_house_streak,Collapsing Columns,epic,Each Full House instantly advances Focus to the next threshold,advances 2 thresholds instead of 1,Two Pair also counts,,,O1 code · O2 code,Claude
Trick,pair_pips,Aftershock,common,Two Pair ×2 pips,+1x pips,apply bonus per pair in the submitted hand (four of a kind would count twice),,,O1 BAL · O2 code,you
Trick,two_pair_mult,Double Dutch,rare,Play 3 hands with a pair within 30s for +16 Focus (a non-pair hand breaks the streak),+16 Focus,+15 seconds to the window,2 hands instead of 3,,O1 BAL · O2 BAL · O3 BAL,Claude
Trick,richter,Richter,legendary,Four of a Kind ×3 mult and advances Focus to the next threshold,+2x mult,Full House also counts,,,O1 BAL · O2 code,Claude
Trick,eye_of_storm,Eye of the Storm,epic,Hands played in the middle third of the round replay the highest-ranked card(s),+1 replay,hands played in the middle (add 10% to the portion of the round the trick applies to),,,O1 code · O2 code,Claude
Trick,ripple,Ripple,rare,"Once every 30s, cards adjacent in rank to another card in the hand replay",-10 seconds off the cooldown (min 5s),cards within 2 ranks of each other count,+1 replay,,O1 BAL · O2 code · O3 code,Claude
Trick,enriched,Enriched,common,Flushes score +40 pips,+40 pips,+16 mult,,,O1 BAL · O2 code,you
Trick,tidal_force,Tidal Forces,common,Flushes score +10 mult,+10 mult,hands where all but one card share a suit also count,,,O1 BAL · O2 code,Claude
Trick,deluge,Deluge,rare,Flushes add +5 seconds to the clock,+5 seconds,hands where all but one card share a suit also count,,,O1 BAL · O2 code,Claude
Trick,summit,Unsummit,common,The highest-ranking card in each hand scores +(level x 4) pips.,+4 pips per level,the two highest-ranking cards both get it,,,O1 BAL · O2 code,Claude
Trick,last_stand,Last Stand,rare,"If your score is below the round goal when you play, that hand scores ×2 mult.",+1x mult,applies while below 125% of the round goal (+25% per improvement),,,O1 BAL · O2 code,Claude
Trick,light_touch,Nimble,common,2-card hands score +5 mult,+5 mult,3-card hands also count,,,O1 BAL · O2 code,Claude
Trick,release_valve,Release Valve,rare,"Each time you reach max Focus, gain +1 swap and +1 discard, then lose half your Focus.",+1 swap and +1 discard,keep 75% of your Focus instead of half (+25% per improvement),,,O1 code · O2 BAL,Claude
Trick,heavy_hand,Full Load,rare,5-card hands score +6 pips per card,+6 pips per card,4-card hands also count,,,O1 BAL · O2 code,Claude
Trick,blackjack_bonus,Twenty-One,legendary,"If the face values of your cards total exactly 21, ×3 pips",+2x pips,20 or 21 counts (widens by 1 either side per improvement),,,O1 BAL · O2 code,Claude
Trick,first_light,First Light,common,Aces are worth 21 pips,+10 pips,2s and 3s also get +10 pips ,"when i say 2s and 3s also get +10 pips, i say that becuase this bonus adds 10 piips to aces basically. but if you had already upgraded this trick once it happend to take the first option, so the default bonus was +15 instead of pluis 10, then 2s and 3s would also get that amount, not plus 10. if this could be worded more clearly please do that.",,O1 BAL · O2 code,you
Trick,wild_heart,Inspirato,epic,"When an Ace scores, prime your first and last Tricks (each fires twice its next hand)",the primed Tricks stay primed for one extra hand,primes the second and second-to-last Tricks as well,,,O1 code · O2 code,Claude
Trick,face_value,Face Value,common,Face cards (J/Q/K) are worth 15 pips,+5 pips,An additional random rank gets added,,,O1 BAL · O2 code,you
Trick,king_guard,Men of Repute,common,Kings and Jacks score +5 pips and +1 mult each,+10 pips,+2 mult,,,O1 BAL · O2 BAL,you
Trick,knave_power,Knave for the People,legendary,Each Jack on the grid multiplies total pips ×2,+1x per Jack,Queens count as Jacks for this trick,,,O1 BAL · O2 code,Claude
Trick,humble_roots,Every Day Essentials,rare,Rank-5-and-below cards (incl. Ace) contribute 3× pips,+2x pips,rank 6 and below (+1 to the rank ceiling per improvement),,,O1 BAL · O2 code,Claude
Trick,before_the_tide,Gnomes,epic,Each rank-5-and-below card scored adds its rank in Focus,adds double its rank in Focus,rank 6 and below (+1 to the rank ceiling per improvement),,,O1 code · O2 code,Claude
Trick,royal_trio,Heads of State,epic,"A hand containing K, Q, and J scores ×2 mult",+1x mult,"any two of K, Q and J is enough",,,O1 BAL · O2 code,Claude
Trick,rich_soil,Rich Soil,common,All cards score +2 pips,+2 pips,+2 pips AND +1 mult per card,,,O1 BAL · O2 code,Claude
Trick,fertile_ground,Fertile Ground,rare,All cards score +3 pips,+3 pips,+3 pips AND +1 mult per card,,,O1 BAL · O2 code,Claude
Trick,first_fruits,First Fruits,rare,Each card in first hand each round permanently gains +2 pips,+2 pips,the first two hands each round count,,,O1 BAL · O2 code,Claude
Trick,sapling,Sapling,rare,"Each level, 3 cards permanently gain +2 pips",+2 pips,+2 cards each level,,,O1 code · O2 code,Claude
Trick,early_bird,Early Bird,common,Hands played in the first third of the round score +3 pips per card,+ 3 pips per card,hands played in the first (add 10% to the portion of the round the trick applies to),,,O1 BAL · O2 code,you
Trick,night_owl,Night Owl,common,Hands played in the last third of the round score +1 mult per card,+1 mult per card,hands played in the last (add 10% to the portion of the round the trick applies to),,,O1 BAL · O2 code,Claude
Trick,closing_time,Near Extinction,rare,"When less than a quarter of the round remains, each scored card replays",+1 replay,add 10% to the portion of the round the trick applies to,,,O1 code · O2 code,Claude
Trick,quick_draw,Quick Draw,common,Hands played within 3 seconds of the previous permanently add +1 max Focus capacity,+1 max Focus,+1.5 seconds to the window,,,O1 code · O2 BAL,Claude
Trick,patience_reward,The Heron,rare,Hands played 15+ round-seconds after the previous score +3 mult,+3 mult,-4 seconds off the wait required (min 3s),,,O1 BAL · O2 BAL,Claude
Trick,first_play,Head Start,common,The first hand each round adds +5 Focus,+5 focus,the first 2 hands each round give this bonus,,,O1 BAL · O2 code,you
Trick,still_water,Eagle Eye,rare,+5 mult for every 10 seconds elapsed without using a swap,+5 mult per interval,"every 7 seconds instead of 10 (-3s per improvement, min 3s)",,,O1 BAL · O2 BAL,Claude
Trick,frozen_moment,The Falcon,epic,Hands played while the clock is paused add +10 Focus,+10 Focus,also applies for 3 seconds after a pause ends,,,O1 BAL · O2 code,Claude
Trick,swift,The Swift,rare,+1 mult for every 3 seconds elapsed this round,+1 mult per interval,"every 2 seconds instead of 3 (-1s per improvement, min 1s)",,,O1 BAL · O2 BAL,Claude
Trick,cuckoo,The Cuckoo,epic,"Every 60 seconds of round time, pause the clock by 1 second for each replay that has happened this round",pauses 2 seconds per replay instead of 1,"every 45 seconds instead of 60 (-15s per improvement, min 15s)",,,O1 code · O2 BAL,Claude
Trick,double_jeopardy,Double Jeopardy,epic,"Once per round: a random card is marked at round start; the first time you score it, pause the clock for 15 seconds",+15 seconds,2 cards are marked each round (+1 per improvement),,,O1 BAL · O2 code,Claude
Trick,woodpecker,The Woodpecker,rare,In alternating 30-second blocks a random card is marked. Scoring a marked card replays it twice,+2 replays,2 cards are marked per block,,,O1 BAL · O2 code,Claude
Trick,hummingbird,The Hummingbird,rare,+2 mult for every clock pause triggered this game,+2 mult per pause,rewinds count as pauses too,,,O1 BAL · O2 code,Claude
Trick,albatross,The Albatross,rare,+5 pips for every second the clock has spent paused this round,+5 pips per second,"counts seconds paused this game, not this round",,,O1 BAL · O2 code,Claude
Trick,vulture,The Vulture,epic,Cards discarded during the round’s first clock pause permanently gain: pause the clock 1 second each time they score (replays stack),+1 second,"cards discarded during any pause count, not only the round first",,,O1 BAL · O2 code,Claude
Trick,ticktock,Tick-Tock,common,"Every time the round clock ends in a 0, gain +2 Focus",+2 Focus,also fires when the clock ends in a 5,,,O1 BAL · O2 code,Claude
Trick,quarter_chime,Quarter Chime,rare,"Every time the round clock reads a multiple of 15 seconds, your next hand scores +45 pips",+45 pips,"every 10 seconds instead of 15 (-5s per improvement, min 5s)",,,O1 BAL · O2 code,Claude
Trick,minute_hand,Minute Hand,rare,Every minute mark the clock passes adds +3 mult to your next hand,+3 mult,"every 30 seconds instead of 60 (-15s per improvement, min 10s)",,,O1 BAL · O2 code,Claude
Trick,second_hand,Second Hand,common,Every 10 seconds the clock passes adds +5 pips to your next hand. Rewinding the clock earns them again,+5 pips,"every 7 seconds instead of 10 (-3s per improvement, min 3s)",,,O1 BAL · O2 code,Claude
Trick,hourglass,Hourglass,epic,Every minute mark the clock passes has a 1-in-3 chance to give a random card on the grid a permanent retrigger,+15% chance,every 30 seconds instead of every minute,,,O1 BAL · O2 code,Claude
Trick,sediment,Sediment,rare,Gains +10 pips for every 10 seconds of round time elapsed (resets each round),+10 pips per interval,does not reset between rounds,,,O1 BAL · O2 code,Claude
Trick,kingfisher,The Kingfisher,epic,+1 mult for every 5 seconds the clock has been paused or rewound this round,+1 mult per interval,"every 3 seconds instead of 5 (-1s per improvement, min 2s)",,,O1 BAL · O2 BAL,Claude
Trick,magpie,Hoarder House,epic,Each hand rewinds the clock 1 second for every 2 unspent swaps + discards you hold,+1 second,"every unspent swap or discard counts, not every 2",,,O1 code · O2 BAL,Claude
Trick,mockingbird,Traveler,rare,Every 3 hands you play without a same-type streak grants +1 swap,+1 swap,"every 2 hands instead of 3 (-1 per improvement, min 1)",,,O1 code · O2 code,Claude
Trick,starling,Type A,rare,Every 2nd hand of an unbroken same-type streak grants +1 discard,+1 discard,"every hand of the streak counts, not every 2nd",,,O1 code · O2 code,Claude
Trick,phoenix,The Phoenix,mythic,"While the clock is paused, the Focus multiplier applies twice",the Focus multiplier applies a third time,also applies for 3 seconds after a pause ends,,,O1 code · O2 code,Claude
Trick,kindling,Kindling,common,Same hand streak scores +4 pips × streak,+4 pips,every third streak count also applies 2x to pips,,,O1 BAL · O2 code,you
Trick,wildfire,Wildfire,rare,3 same hands in a row scores +2 mult,+2 mult,2 same hands in a row instead of 3,,,O1 BAL · O2 code,Claude
Trick,echo_hand,Echoes,common,Playing the same hand type as the previous hand replays each card,the first card is replayed one additional time,the streak survives one hand of a different type,,,O1 code · O2 code,you (opt 1) + Claude (opt 2)
Trick,club_double,Hard Labour,mythic,"Each club scored adds escalating pips - +5, doubling per club; replays count",+5 to the starting amount,spades count as clubs for this trick,,,O1 BAL · O2 code,Claude
Trick,monochrome,Blood Diamonds,epic,Hands with at least one heart and one diamond grant +1 credit and +10 seconds,+1 credit and +10 seconds,one club and one spade also counts,,,O1 BAL · O2 code,Claude
Trick,full_color,Rainbow,rare,Hands with all four suits score +16 pips and +4 mult per card,+16 pips and +4 mult per card,three suits qualify at half the bonus,,,O1 BAL · O2 code,Claude
Trick,balanced_diet,Balance,common,Hands with exactly 2 suits score +2 mult per card,+2 mult per card,hands with 2 or 3 suits qualify,,,O1 BAL · O2 code,you (opt 1) + Claude (opt 2)
Trick,lucky_sevens,Lucky Sevens,epic,+3 Focus for each 7 scored or discarded,+3 Focus,swapped 7s count too,,,O1 BAL · O2 code,Claude
Trick,ninesong,Threepeat,epic,"If the hand's pip total is divisible by 3: +3 seconds, +9 mult, +3 Focus","+3 seconds, +9 mult and +3 Focus",a pip total divisible by 3 OR by 2 counts,,,O1 BAL · O2 code,Claude
Trick,prime_time,Prime Time,rare,"Hands with 3+ prime-rank cards (A,2,3,5,7) score +23 pips per card",+23 pips per card,"2+ prime-rank cards qualify (-1 per improvement, min 1)",,,O1 BAL · O2 code,Claude
Trick,even_score,Get Even,common,Hands with 3+ even-ranked cards score +2 mult per even card,+2 mult per even card,hands with 2+ even-ranked cards qualify for the bonus,,,O1 BAL · O2 code,you
Trick,odd_squad,Odd One In,rare,Hands with 3+ odd-ranked cards score +2 mult per odd card,+2 mult per odd card,"2+ odd-ranked cards qualify (-1 per improvement, min 1)",,,O1 BAL · O2 code,Claude
Trick,number_crunch,Diversity,rare,Hands with 4+ different ranks score +2 mult,+2 mult,"3+ different ranks qualify (-1 per improvement, min 2)",,,O1 BAL · O2 code,Claude
Trick,rowcol_triple_pips,Right Place,common,Cards scored in a marked row or column score +10 pips,+10 pips,the lines either side of the marked line pay half,,,O1 BAL · O2 code,Claude
Trick,rowcol_mult,Power Line,common,Cards scored in a marked row or column each score +2 mult,+2 mult,the lines either side of the marked line pay half,,,O1 code · O2 code,Claude
Trick,rowcol_retrigger,Echo Location,rare,Cards scored in a marked row or column have a 50% chance to replay once,+25% chance,cards on the lines either side get half the chance,,,O1 code · O2 code,Claude
Trick,perfect_timing,Perfect Timing,epic,Cards scored in a marked row or column replay once,+1 replay,the lines either side of the marked line replay too,,,O1 code · O2 code,Claude
Trick,right_time,Right Time,rare,Each card scored in a marked row or column pauses the clock 2 seconds,+2 seconds,the lines either side of the marked line pay half,,,O1 BAL · O2 code,Claude
Trick,study_hall,Study Hall,rare,Every 2 cards you score adds +1 Focus,+1 Focus per fire,"fires every card scored instead of every 2 (-1 per improvement, min 1)",,,O1 BAL · O2 code,Claude
Trick,rowcol_perm_double,Ley Line,epic,"Cards scored at the intersection of a row effect and a column effect permanently gain +2 mult, once per minute",+2 mult,once every 30 seconds instead of once a minute,,,O1 BAL · O2 code,Claude
Trick,shape_square,Hands of Blue,epic,A 2×2 hand adds +16 Focus,+16 Focus,a 2x3 block also counts,,,O1 BAL · O2 code,Claude
Trick,shape_cross,Crossroads,rare,A + shaped hand adds +25 Focus,+25 Focus,a T or an L shape also counts,,,O1 BAL · O2 code,Claude
Trick,shape_line,Straight Shot,epic,5-card hands played in a straight line add the first and last card's pip values to mult,adds double the two cards pip values,4-card straight lines also count,,,O1 code · O2 code,Claude
Trick,corner_retrigger,Cornered,rare,Corner cards multiply the running pips by the whole minutes left on the clock,+1 to the minute count it multiplies by,the cells next to each corner count as corners,,,O1 code · O2 code,Claude
Trick,two_corners,Stretch,epic,"When a hand has 2 or more corner cells, each corner card scores ×2 mult",+1x mult,a single corner cell is enough,,,O1 BAL · O2 code,Claude
Trick,edge_pips,On the Edge,common,Hands where all cards are on the outer edge score +15 pips per card,+15 pips per card,all but one card on the edge qualifies,,,O1 BAL · O2 code,Claude
Trick,wide_span_mult,Inclusive,rare,Hands spanning the full width or height of the grid score +25 mult,+25 mult,spanning all but one row or column qualifies,,,O1 BAL · O2 code,Claude
Trick,column_rush,Stand Up,common,Hands with cards from only one column score +2 mult per card,+2 mult per card,hands with cards from no more than 2 columns,,,O1 BAL · O2 code,Claude
Trick,row_power,Lie Down,common,Hands with cards from only one row score +2 mult per card,+2 mult,hands with cards from no more than 2 rows,,,O1 BAL · O2 code,you
Trick,groove,Groove,rare,This trick scales +1 Focus for every 2 cards scored from a marked row or column. Resets each round.,+1 Focus,does not reset between rounds,,,O1 BAL · O2 code,Claude
Trick,assembly_line,Assembly Line,epic,Cards scored in a marked row or column score +1 mult for every card already scored from that line this round.,+1 mult per prior card,"counts cards from any marked line, not only its own",,,O1 BAL · O2 code,Claude
Trick,overtime,Overtime,rare,Every hand rewinds the clock 1 second for every 3 cards you have scored from its marked row or column this round. The count resets each round.,+1 second,"every 2 cards instead of 3 (-1 per improvement, min 1)",,,O1 BAL · O2 BAL,Claude
Trick,feng_shui,Feng Shui,epic,Permanently scores +3 pips each hand another position trick triggers.,+3 pips,also gains +1 mult on the same trigger,,,O1 BAL · O2 code,Claude
Trick,huddle,Huddle,rare,Each scored card scores +11 pips for every adjacent card or sleight in the hand.,+11 pips,diagonally adjacent cards count too,,,O1 BAL · O2 code,Claude
Trick,clean_sweep,Clean Sweep,epic,Cover a full row or column within two hands to advance Focus to the next threshold.,advances 2 thresholds instead of 1,three hands instead of two (+1 per improvement),,,O1 code · O2 code,Claude
Trick,rising_tide,Rising Tide,common,Base mult increases by +1 for each level reached,+1 mult per level,also +1 mult per boss beaten,,,O1 code · O2 code,Claude
Trick,veteran_bonus,Veteran,common,+2 pips per level reached this run,+2 pips per level,+2 pips AND +0.5 mult per level,,,O1 BAL · O2 code,Claude
Trick,compound_mult,Compound,epic,Each hand played permanently adds +0.1 mult to this trick,+0.1 mult per hand,discarded hands count too,,,O1 BAL · O2 code,Claude
Trick,prolific,Prolific,rare,Each hand played permanently adds +1 pip to this trick,+1 pip per hand,discarded hands count too,,,O1 BAL · O2 code,Claude
Trick,acorns,Acorns,rare,Each card scored permanently adds +0.05 Focus to this trick; grants its whole-number Focus each hand,+0.05 Focus per card,discarded cards count too,,,O1 BAL · O2 code,Claude
Trick,plan_ahead,Plan Ahead,epic,Every 3rd hand adds Focus equal to your average hands per round,adds double your average hands per round,"every 2nd hand instead of every 3rd (-1 per improvement, min 1)",,,O1 code · O2 BAL,Claude
Trick,fives_discard,Penny Saved,rare,Each 5 discarded or played permanently adds +5 pips to this trick,+5 pips,swapped 5s count too,,,O1 BAL · O2 code,Claude
Trick,nines_mult,Cloud Nine,rare,Each 9 scored permanently adds +9 mult to this trick,+9 mult,discarded 9s count too,,,O1 BAL · O2 code,Claude
Trick,tens_mult,Perfect Ten,rare,Every 10 cards discarded permanently adds +1 mult to this trick,+1 mult,"every 7 discards instead of 10 (-3 per improvement, min 3)",,,O1 BAL · O2 BAL,Claude
Trick,sixes_perm,D6,epic,Every 6th card scored permanently gains a random +1–6 pips,+6 to the top of the roll (1-12),"every 4th card instead of every 6th (-2 per improvement, min 2)",,,O1 BAL · O2 BAL,Claude
Trick,fours_perm,Middle Management,common,4-card hands permanently give the 4th card +4 pips,+4 pips',4 card hands give the first and last cards the bonus,,,O1 BAL · O2 code,you
Trick,twos_retrigger,Double Take,rare,Each 2 scored duplicates your most recently acquired Trick’s effect,+1 duplication,3s count as 2s for this trick,,,O1 code · O2 code,Claude
Trick,prime_times,Prime Times,rare,"When a prime-rank card (A,2,3,5,7) scores, prime your next Trick - cycling 1st→2nd→3rd→5th→7th",primes 2 Tricks per trigger,the cycle covers the 4th and 6th slots as well,,,O1 code · O2 code,Claude
Trick,eights_retrigger,Sideways to Infinity,rare,Each 8 in a hand scores a number of times equal to the number of 8s in that hand,+1 extra scoring per 8,9s count as 8s for this trick,,,O1 code · O2 code,Claude
Trick,snowball,Snowball,epic,"After any hand scoring 500+ pips, each scored card permanently gains +2 pips",+2 pips,-150 off the pip threshold (min 100),,,O1 BAL · O2 BAL,Claude
Trick,big_win,Jackpot,legendary,"The first time a single hand scores 10,000+, permanently add +5 mult to this trick",+5 mult,"-3,000 off the threshold (min 2,000)","fires every time, not only the first",,O1 BAL · O2 BAL · O3 code,Claude
Trick,queens_upgrade,Royal Favour,epic,"After scoring, cards adjacent to Queens permanently gain +1 rank",+1 rank,Kings also count,,,O1 code · O2 code,Claude
Trick,aces_absorb,Ace Absorb,legendary,"When an Ace scores, one random adjacent card is forgotten and its bonuses added to the Ace (once per hand)",absorbs 2 adjacent cards,twice per hand instead of once,,,O1 code · O2 code,Claude
Trick,monopoly,Monopoly,legendary,"When a 15 or a 20 scores, one random adjacent card is forgotten and its bonuses added to it (once per hand)",absorbs 2 adjacent cards,11s also count,,,O1 code · O2 code,Claude
Trick,sands_of_time,Sands of Time,rare,Current round time remaining ÷ 2 added as pips,-0.5 off the divisor (min 0.5),also adds the same figure as Focus,,,O1 BAL · O2 code,Claude
Trick,discard_pips,Compost,common,+3 pips per card discarded this round,+3 pips,+4 pips per discarded or swapped,,,O1 BAL · O2 code,you
Trick,spade_flood,Dark Matter,rare,All-spade hands add half the remaining round time as pips,-0.5 off the divisor (min 0.5),all-black hands count (spades and clubs),,,O1 BAL · O2 code,Claude
Trick,mirror,Mirror,rare,Tap to tilt left or right; borrows the effect of the Trick on that side. Facing an empty slot = no effect.,borrows at 1.5x strength,borrows from both sides at once,,,O1 code · O2 code,Claude
Trick,combo_score,Combo Score,common,+2 mult for every distinct hand type played this round,+2 mult,x1+.3 per distinct hand type.,,"for option 2, if you've played two hand types, this trick would offer a single multiplier for 1.7, it doesn't multiply multiple times, just once",O1 BAL · O2 code,you
Trick,escalation,Escalation,rare,+3 mult for every hand played this round past the 3rd,+3 mult per hand,"starts a hand earlier (-1 per improvement, min the 1st hand)",,,O1 code · O2 code,Claude
Trick,move_as_one,Move as One,epic,"If 3+ of your Tricks share a keyword, your lowest-rarity Trick sharing that keyword scores its effect a second time",+1 extra scoring,2 Tricks sharing a keyword is enough,,,O1 code · O2 code,Claude
Trick,more_better,More Better,common,Each reward grid where you select 3+ tiles permanently adds +4 mult to this trick,+4 mult,"2+ tiles is enough (-1 per improvement, min 1)",,,O1 BAL · O2 BAL,Claude
Trick,rain_check,Rain Check,epic,Skipping a reward grid adds +30 seconds to your next round,+30 seconds,taking only one tile also counts as skipping,,,O1 BAL · O2 code,Claude
Trick,temporal_rift,Temporal Rift,epic,A card scored where a row effect and a column effect cross permanently pauses the clock 3s when scored (once per minute; a card already time-buffed is skipped),+3 seconds,once every 30 seconds instead of once a minute,,,O1 BAL · O2 code,Claude
Trick,wild_side,Wild Side,rare,+3 mult for every negative reward tile you have taken this run,+3 mult per tile,curses and event debuffs count as negative tiles,,,O1 BAL · O2 code,Claude
Trick,wait_for_it,Wait For Iiiit,epic,Each negative reward tile taken this run gives every scored card a +2% chance to replay (checked per card; retroactive),+2% per tile,curses and event debuffs count as negative tiles,,,O1 BAL · O2 code,Claude
Trick,meditation,Meditation,common,Focus decays 1 second slower,+15% seconds slower',every 5 seconds get +5 focus,,,O1 code · O2 code,you
Trick,tunnel_vision,Tunnel Vision,common,Start each round with 5 focus,+5 focus,also start each round with +1 swap,,,O1 code · O2 code,Claude
Trick,first_wind,First Wind,common,Focus does not decay for the first 45 seconds of a round,start with 8 focus,+10 seconds of non decay time,,,O1 code · O2 code,you
Trick,rhythm,Rhythm,common,Each hand played adds 1 additional focus,+1 focus,discarding also adds the focus,,,O1 code · O2 code,Claude
Trick,restless,Restless,common,Swapping adds 1 focus,+1 focus,discarding also adds the focus,,,O1 code · O2 code,Claude
Trick,cull,Cull,common,Discarding adds 1 Focus per swap and discard you have left,+1 Focus per unit of stock left,swapping pays it too,,,O1 code · O2 code,you
Trick,expanse,Expanse,common,"Each time you hit max focus, increase max focus capacity by 1",+1 additional max focus,pause the clock +5 seconds,,,O1 code · O2 code,you
Trick,kaleidoscope,Kaleidoscope,rare,Playing one or more of each suit in a hand adds +4 Focus,+4 Focus,three suits qualify,,,O1 code · O2 code,Claude
Trick,flow_state,Flow State,rare,"While focus is ×1.5 or higher, +10 pips per card scored",+10 pips per card,"triggers at a x1.25 Focus multiplier (-0.25 per improvement, min x1.1)",,,O1 BAL · O2 code,Claude
Trick,heartwood,Heartwood,epic,Dead center card permanently gains +5 pips & +1 mult each time scored,+5 pips and +1 mult,the four cards orthogonally adjacent to centre count too,,,O1 BAL · O2 code,Claude
Trick,landfill,Landfill,common,Hands score +1 mult for every 5 cards you have discarded this round,+3 mult,"-1 to the required amount of cards dsicarded. every 4 cards, if it gets improved again, every 3 cards, etc.",,,O1 BAL · O2 BAL,you
Trick,old_growth,Old Growth,epic,Each scored card also adds its permanent pip bonus to mult,adds double its permanent pip bonus,also adds its permanent mult bonus to pips,,,O1 code · O2 code,Claude
Trick,magician,Magician,rare,+3 mult for each Sleight you own,+3 mult per Sleight,also +3 mult per Knack owned,,,O1 BAL · O2 code,Claude
Trick,stand_up,Stand-Up,rare,+10 pips for each charge remaining across all your Sleights,+10 pips per charge,infinite-charge Sleights count as 5 charges,,,O1 BAL · O2 code,Claude
Trick,scalper,Scalper,rare,"Total pips ×(1 + 0.2 per charge your Sleights are missing), figured when the hand scores",+0.2x per missing charge,Sleights spent and gone from your deck still count as fully missing,,,O1 BAL · O2 code,Claude
Trick,five_stack,Five Stack,mythic,"Each card in a 5-card hand scores +20 pips, +5 mult, and +1 Focus","+20 pips, +5 mult and +1 Focus per card",4-card hands count at half,,,O1 BAL · O2 code,Claude
